ids,month,class,title
2055,08,positive,News Alert! Maratha Reservation: Bicycles set ablaze by protesters in Pune’s Kothrud
5909,08,positive,"Post-rains, plantation sector tots up losses"
2525,08,positive,Can't free Rajiv Gandhi's killers: Indian Govt. tells SC
3175,08,positive,Organic farming policy on the anvil
1164,08,positive,MP: 3 detained after 10 dead cows found in abattoir in Khandwa
3001,08,positive,India: India's southern state of Kerala on high alert as flash floods kill dozens
1616,08,positive,Parrikar seeks Modi’s help to resume mining in Goa
2323,08,positive,Maharashtra bandh: Hundreds detained for resorting to violence during protests over Maratha reservation
4752,08,positive,Panel to probe Kharghar land scam
4791,08,positive,Hindus protest encroachment of cremation site
2653,08,positive,"29 dead, 54,000 displaced; all shutters of Idukki dam"
4236,08,positive,"Gujarat: Lion cub barges into house in Junagadh village, ransacks household goods; injures woman"
4550,08,positive,"Photos show the destruction from flooding in the Indian state of Kerala, killing at least 350 people"
6347,08,positive,"4 children fall into sand mining pit in river, drown"
5699,08,positive,"Kerala floods: Poor dam management behind disasters, experts say"
2690,08,positive,"Kerala floods: 29 dead, 54,000 homesless; CM conducts aerial survey"
2861,08,positive,Kerala on high alert after floods kill 34
4545,08,positive,"Worst floods in a century leave hundreds dead, scores displaced in India's Kerala"
4223,08,positive,We expect a ‘fair price’ from govt: Jewar farmers
7070,08,positive,India-Pakistan water talks: Deadlock persists as India snubs Pakistan’s concerns
1206,9,positive,Gujarat state amends law to give land to industry instead of the poor
642,9,positive,How villagers in Bhutan and India came together to resolve a water-sharing tussle
5935,9,positive,Centre unlikely to relax 80% mandatory land acquisition rule for highway projects
2096,9,positive,Punjab Agricultural University reaches out to farmers in distress
1762,9,positive,CPI(M): reclaim lands encroached in Vizag
440,9,positive,Man's hand chopped off for enquiring about missing cow in MP
326,9,positive,"Impose penalties for delayed crop insurance payouts, Agriculture Ministry tells FinMin"
1979,9,positive,"Fearing crop failure, farmer ends life in Amreli"
5470,9,positive,"FM Shah Mehmood meets World Bank chief, stresses arbitration for resolution of Indo-Pak water dispute"
5316,9,positive,11 killed as rain pounds north India; 43 Keralites stranded in Manali
6151,9,positive,"Tourist, 49, killed by enraged elephant in Zimbabwe after leaving car to take picture of it"
6192,9,positive,Maoists using bauxite mining as pretext to kill: Naidu
291,9,positive,"We sell for Rs 2 per kg, the consumer buy for Rs 40 per kg, says distressed Maharashtra tomato farmers"
3571,9,positive,Traders’ unrest threatens to dampen Bhadarvi fair fervour
722,9,positive,Land acquisition for Calicut airport runs into rough weather
3559,9,positive,Kaniyur panchayat residents protest irregular supply of potable water
736,9,positive,"Workers, farmers to protest Modi govt's failure together in Delhi"
2690,9,positive,Experts implore Government to prioritise water security
910,9,positive,"Farmers, workers rally in national capital"
1830,9,positive,Man-eating tiger a symptom of conflict over habitat in India
1560,10,positive,"Despite ban, Ludhiana farmers to burn stubble even this year"
642,10,positive,"Protesting farmers reach Kisan Ghat, claim victory"
695,10,positive,"After midnight march, farmers call off their protests, NH24 reopens: 10 latest updates"
859,10,positive,"On The Day Of Non-Violence, Police Fire Tear Gas, Water Cannons To Break Farmers' Protest"
1004,10,positive,Tamil Nadu government is flouting land acquisition law and court order
332,10,positive,"Video | Kisan March: Farmers break down barriers, brave water cannons to enter Delhi"
326,10,positive,"Farmers stopped at Delhi-Uttar Pradesh border; police use water cannons, tear gas"
497,10,positive,Left parties condemn lathicharge on farmers at Delhi-UP border
483,10,positive,"India police fire tear gas, water cannon to stop farmers' march"
1602,10,positive,A holistic approach needed to solve farmers’ woes
508,10,positive,"Protesting farmers ‘not satisfied’ with government assurances, won’t end stir"
1158,10,positive,Now Landless plan to march to Delhi after their rally in Morena
534,10,positive,"Modi government barbaric, farmers can't even express plight: Congress"
252,10,positive,Gram Sabhas to inform farmers about crop insurance scheme
1400,10,positive,"Will not allow Kejriwal to address rally in Karnal, say protesting govt employees"
1414,10,positive,Gujarat farmers body raps State govt for not allocating enough Narmada water
722,10,positive,"After Delhi Police stop protest march, anger against Modi government boils over"
939,10,positive,"MSP hike a cruel joke on farmers, Centre not serious about their welfare: Punjab CM"
910,10,positive,Violence is BJP’s answer to farmers’ questions: Cong
737,10,positive,2 more Gujarat lions dead; toll 23 in 20 days
723,10,positive,Why are distressed farmers being prevented from even protesting peacefully?
1415,10,positive,"Farmer bodies, trade unions to hit the streets over Rafale scam"
