Unnamed: 0,policy_name,policy_text,policy_index,text_length,cleaned_policy_texts
0,"3.Forest (Conservation) Act, 1980 with Amendments Made in 2003",Ministry of Environment and ForestsMinistry of Environment and Forests NOTIFICATION G.S.R. 94  (E) – In exercise of the powers conferred by sub-section (1) of section 4 of the Forest the expiry of 180 days from the date of such publication. ‘ (b) “Committee” means the Forest Advisory Committee constituted under section 3 of the Act.’ “3.       Composition of the Forest Advisory Committee : - namely : Chairperson. Forests – Member. 2– Member. Engineering and Development Economics  -   Members. Environment and Forests – Member Secretary. (2) The Additional Director General of Forests shall act as Chairperson in the absence of the Director General of Forests.” Constitution of the Regional Empowered Committee  : – (1) A  Regional Empowered Committee shall be constituted at each of the Regional                                 (i)  the Regional Principal Chief Conservator of Forests (Central)  -   Chairperson.   Engineering and Development Economics  -   Members.    (iii) the Conservator of Forests or the Deputy Conservator of Forests in the Regional Office  -  Member Secretary. (2) The term of appointment of non-official  Members shall be as  specified in rule 4 of these rules. “ 6.     Submission of proposals seeking approval of the Central Government under section 2 of the Act  3Monitoring Cell of the Forest Conservation Division of the Ministry of 110003. the Central Government within a period of  two hundred and ten days of  the receipt of the proposal  including the transit period.  and on being satisfied that the proposal is complete in all respects and requires concerned Divisional Forest Officer within a period of ten days of the receipt of the  proposal :       Provided that on the determination regarding completeness of the proposal or otherwise of the proposal shall not be raised. 4 (c) If the Nodal Officer of the State Government or the Union territory User Agency and this time period shall not be counted for any future reference.  (d) The Divisional Forest Officer or the Conservator of Forests shall examine the inspection and enumeration of the trees and forward his findings in the Format specified in this regard to the Nodal Officer within a period of ninety days of  the receipt of such proposal from him. shall forward the proposal to State Government or the Union territory within a period of thirty days of the receipt of such proposal from the Divisional Forest Officer or the Conservator of Forests. the receipt of the  proposal from the Nodal Officer :                 Provided that all proposals involving clearing of naturally grown trees on the forest land or a portion thereof for the purpose of using it for reforestation shall be sent  in the form of Working Plan or Management Plan. 5 Provided further that the concerned State Government or as the case proposal and the concerned State Government or the Union territory Administration shall inform the User Agency accordingly : Provided that in case the State Government or the Union territory considered by the Central Government unless an explanation for the delay to taken against any individual held to be responsible for the delay.  upto forty hectares  other than the proposal relating to mining and Forests of the concerned Regional Office of the Ministry of Environment and 6the receipt of the proposal fron the concerned State Government or the Union decision of the Central Government and inform the State Government or the concerned. (5) The Regional Empowered Committee shall decide the proposal involving diversion of forest land upto forty hectares other than the proposal relating to the case may be: reduce the limit  of the area of the forest land. 110003.” 7brackets and figures “sub-rule (6) of rule 6” shall be substituted.           “ (1A)  These proposals shall be processed and put up before the Committee and  the recommendations of the Committee shall be placed within a period of ninety days of the receipt of such proposals from the State Government or the Union territory substituted. [File No. 5-5/98-FC] (Dr. V.K. BAHUGUNA)  Inspector General of Forests (Forest Conservation)  Note : The Principal rules were published in the Gazette of India vide number G.S.R.  23 (E) dated ,0,671,ministri environ forestsministri environ forest notif exercis power confer sub section section forest expiri 180 day date public “committee” mean forest advisori committe constitut section act composit forest advisori committe name chairperson forest member member engin develop econom member environ forest member secretari addit director general forest shall act chairperson absenc director general forest constitut region empow committe region empow committe shall constitut region region princip chief conserv forest central chairperson engin develop econom member iii conserv forest deputi conserv forest region offic member secretari term appoint non offici member shall specifi rule rule submiss propos seek approv central govern section act 3monitor cell forest conserv divis ministri 110003 central govern within period two hundr ten day receipt propos includ transit period satisfi propos complet respect requir concern division forest offic within period ten day receipt propos provid determin regard complet propos otherwis propos shall not rais nodal offic state govern union territori user agenc time period shall not count futur refer division forest offic conserv forest shall examin inspect enumer tree forward find format specifi regard nodal offic within period nineti day receipt propos shall forward propos state govern union territori within period thirti day receipt propos division forest offic conserv forest receipt propos nodal offic provid propos involv clear natur grown tree forest land portion thereof purpos use reforest shall sent form work plan manag plan provid concern state govern case propos concern state govern union territori administr shall inform user agenc accord provid case state govern union territori consid central govern unless explan delay taken individu held respons delay upto forti hectar propos relat mine forest concern region offic ministri environ 6the receipt propos fron concern state govern union decis central govern inform state govern concern region empow committe shall decid propos involv divers forest land upto forti hectar propos relat case may reduc limit area forest land 110003 7bracket figur “sub rule rule shall substitut propos shall process put committe recommend committe shall place within period nineti day receipt propos state govern union territori substitut file bahuguna inspector general forest forest conserv note princip rule publish gazett india vide number date
1,1.PESA,Microsoft Word - PESA.doc. THE PROVISIONS OF THE PANCHAYATS (EXTENSION TO THE          An Act to provide for the extension of the provisions of Part IX of the Constitution relating to the Panchayats to the Scheduled Areas.          Be it enacted by Parliament in the Forty-seventh Year of the Republic of India as follows:-  Short title              1. This Act may be called the Provisions of the Panchayats (Extension to the Definition the Scheduled Areas as referred to in Clause (1) of Article 244 of the Constitution.  Extension of part IX of The Constitution               3. The provision of Part IX of the Constitution relating to Panchayats are hereby extended to the Scheduled Areas subject to such exceptions and modifications as are provided in section 4. Exceptions and modifications to part IX of The Constitution  Legislature of a State shall not make any law under that Part which is inconsistent with (a)    a State legislation on the Panchayats that may be made shall be in consonance with community resources; (b)   a village shall ordinarily consist of a habitation or a group of habitations or a hamlet or a group of hamlets comprising a community and managing its affairs in accordance with traditions and customs; (c)   every village shall have a Gram Sabha consisting of persons whose names are included in the electoral rolls for the Panchayat at the village level; (d)     every Gram Sabha shall be competent to safeguard and preserve the traditions and mode of dispute resolution; (e)     every Gram Sabha shall-  implementation by the Panchayat at the village level;                             ii. be responsible for the identification or selection of persons as beneficiaries under the poverty alleviation and other programmes;   (f)      every Panchayat at the village level shall be required to obtain from the Gram and projects referred to in clause(e); (g)    the reservation of seats in the Scheduled Areas at every Panchayat shall be in proportion to the population of the communities in that Panchayat for  whom reservation is sought to be given under Part IX of the Constitution;  Provided that the reservation for the Scheduled Tribes shall not be less than one-half of the total number of seats;   Provided further that all seats of Chairpersons of Panchayats at all levels shall be reserved for the Scheduled Tribes;   (h)    the State Government may nominate persons belonging to such Scheduled Tribes as have no representation in the Panchayat at the intermediate level or the Panchayat at the district level:  Provided that such nomination shall not exceed one-tenth of the total members to be elected in that Panchayat;  (i)      the Gram Sabha or the Panchayats at the appropriate level shall be consulted before making the acquisition of land in the Scheduled Areas for development projects and before re-setling or rehabilitating persons affected by such projects in the Scheduled Areas; the actual planning and implementation of the projects in the Scheduled Areas shall be coordinated at the State level;   (j)      planning and management of minor water bodies in the Scheduled Areas shall be entrusted to Panchayats at the appropriate level;   (k)  the recommendations of the Gram Sabha or the Panchayats at the appropriate level shall be made mandatory prior to grant of prospecting licence or mining lease for minor minerals in the Scheduled Areas;  (l)    the prior recommendation of the Gram Sabha or the Panchayats at the appropriate level shall be made mandatory for grant of concession for the exploitation of minor minerals by auction;  (m)    while endowing Panchayats in the Scheduled Areas with such powers and authority Legislature shall ensure that the Panchayats at the appropriate level and the Gram Sabha are endowed specifically with-                              (i)  the power to enforce prohibition or to regulate or restrict the sale and consumption of any intoxicant;                              (ii)  the ownership of minor forest produce;                               (iii)     the power to prevent alienation of land in the Scheduled Areas and to take appropriate action to restore any unlawfully alienated land of a Scheduled Tribe;                              (iv)    the power to manage village markets by whatever name called;                               (v)     the power to exercise control over money lending to the Scheduled Tribes;                               (vi) thepower to exercise control over institutions and functionaries in all social sectors;                                (vii)    the power to control over local plans and resources for such plans including tribal sub-plans;   (n)      the State Legislations that may endow Panchayats with powers and authority as may be necessary to enable them to function as institutions of self-government shall contain safeguards to ensure that Panchayats at the higher level do not assume the powers and authority of any Panchayat at the lower level or of the Gram Sabha;   (o)       the State Legislature shall endeavour to follow the pattern of the Sixth Schedule to the Constitution while designing the administrative arrangements in the Panchayats at district levels in the Scheduled Areas.   Continuance of existing laws on panchayats:        5.  Notwithstanding anything in Part IX of the Constitution with    exceptions and and modifications shall continue to be in force until amended or repealed by a competgent Legislature or other competent authority or until the expiration of one year from the date on which this Act receives the assent of the President;  Provided that all the Panchayats existing immediately before such date shall continue till the expiration of their duration unless sooner dissolved by a resolution passed to that         Secy. To the Govt. of India ,1,883,pesa doc provis panchayat extens act provid extens provis part constitut relat panchayat schedul area enact parliament forti seventh year republ india follow short titl act may call provis panchayat extens definit schedul area refer claus articl 244 constitut extens part constitut provis part constitut relat panchayat herebi extend schedul area subject except modif provid section except modif part constitut legislatur state shall not make law part inconsist state legisl panchayat may made shall conson communiti resourc villag shall ordinarili consist habit group habit hamlet group hamlet compris communiti manag affair accord tradit custom everi villag shall gram sabha consist person whose name includ elector roll panchayat villag level everi gram sabha shall compet safeguard preserv tradit mode disput resolut everi gram sabha shall implement panchayat villag level respons identif select person beneficiari poverti allevi programm everi panchayat villag level shall requir obtain gram project refer claus reserv seat schedul area everi panchayat shall proport popul communiti panchayat reserv sought given part constitut provid reserv schedul tribe shall not less one half total number seat provid seat chairperson panchayat level shall reserv schedul tribe state govern may nomin person belong schedul tribe represent panchayat intermedi level panchayat district level provid nomin shall not exceed one tenth total member elect panchayat gram sabha panchayat appropri level shall consult make acquisit land schedul area develop project setl rehabilit person affect project schedul area actual plan implement project schedul area shall coordin state level plan manag minor water bodi schedul area shall entrust panchayat appropri level recommend gram sabha panchayat appropri level shall made mandatori prior grant prospect licenc mine leas minor miner schedul area prior recommend gram sabha panchayat appropri level shall made mandatori grant concess exploit minor miner auction endow panchayat schedul area power author legislatur shall ensur panchayat appropri level gram sabha endow specif power enforc prohibit regul restrict sale consumpt intoxic ownership minor forest produc iii power prevent alien land schedul area take appropri action restor unlaw alien land schedul tribe power manag villag market whatev name call power exercis control money lend schedul tribe thepow exercis control institut functionari social sector vii power control local plan resourc plan includ tribal sub plan state legisl may endow panchayat power author may necessari enabl function institut self govern shall contain safeguard ensur panchayat higher level not assum power author panchayat lower level gram sabha state legislatur shall endeavour follow pattern sixth schedul constitut design administr arrang panchayat district level schedul area continu exist law panchayat notwithstand anyth part constitut except modif shall continu forc amend repeal competg legislatur compet author expir one year date act receiv assent presid provid panchayat exist immedi date shall continu till expir durat unless sooner dissolv resolut pass seci govt india
2,"3.Forest (Conservation) Act, 1980 with Amendments Made in 1988","Microsoft Word - Forest1988 An Act to provide for the conservation of forests and for matters connected therewith or ancillary or incidental thereto.  Be it enacted by Parliament in the Thirty-first Year of the Republic of India as follows:-  (2) It extends to the whole of India except the State of Jammu and Kashmir.  2. Restriction on the dereservation of forests or use of forest land for non-forest purpose.  (i) that any reserved forest (within the meaning of the expression ""reserved forest"" in any reserved;  (ii) that any forest land or any portion thereof may be used for any non-forest purpose;  (iii) that any forest land or any portion thereof may be assigned by way of lease or (iv) that any forest land or any portion thereof may be cleared of trees which have grown clearing of any forest land or portion thereof for-  crops or medicinal plants;  (b) any purpose other than reafforestation;  3. Constitution of Advisory Committee.  The Central Government may constitute a Committee consisting of such number of persons as h may deem fit to advise that Government with regard to-  (i) the grant of approval. under Section 2; and  (ii) any other matter connected with the conservation of forests which may be referred to h by the Central Government.  3A. Penalty for contravention of the provisions of the Act.  punishable with simple imprisonment for a period which may extend to fifteen days.  3B. Offences by the Authorities and Government Departments.  (1) Where any offence under this Act has been committed -  of the authority as well as the authority;  shall be deemed to be guilty of the offence and shall be liable to be proceeded against and punished accordingly:  Provided that nothing contained in this sub-section shall render the head of the that the offence was committed without his knowledge or that he exercised all due diligence to prevent the commission of such offence.  under the Act has been committed by a department of Government or any authority referred to in clause (b) of sub-section (1) and it is proved that the offence has been committed with the consent or connivance of; or is attributable to any neglect on the part persons shall also be deemed to be guilty of that offence and shall be liable to be proceeded against and punished accordingly.  4. Power to make rules.  carrying out the provisions of this Act.  before the expiry of the session immediately following the session or the successive modification or annulment shall be without prejudice to the validity of anything previously done under that rule.  5. Repeal and saving.  of the said Ordinance shall be deemed to have been done or taken under the corresponding provisions of this Act.  ",2,453,forest1988 act provid conserv forest matter connect therewith ancillari incident thereto enact parliament thirti first year republ india follow extend whole india except state jammu kashmir restrict dereserv forest use forest land non forest purpos reserv forest within mean express reserv forest reserv forest land portion thereof may use non forest purpos iii forest land portion thereof may assign way leas forest land portion thereof may clear tree grown clear forest land portion thereof crop medicin plant purpos reafforest constitut advisori committe central govern may constitut committe consist number person may deem fit advis govern regard grant approv section matter connect conserv forest may refer central govern penalti contravent provis act punish simpl imprison period may extend fifteen day offenc author govern depart offenc act commit author well author shall deem guilti offenc shall liabl proceed punish accord provid noth contain sub section shall render head offenc commit without knowledg exercis due dilig prevent commiss offenc act commit depart govern author refer claus sub section prove offenc commit consent conniv attribut neglect part person shall also deem guilti offenc shall liabl proceed punish accord power make rule carri provis act expiri session immedi follow session success modif annul shall without prejudic valid anyth previous done rule repeal save said ordin shall deem done taken correspond provis act
