LAT,LONG,HUMANNAME,COUNT,TONE
35.6411,-79.8431,"North Carolina, United States",47,-0.80634972058341
48.15,11.5833,"Munich, Bayern, Germany",10,-0.363881096706961
10.2897,11.1673,"Gombe, Gombe, Nigeria",11,-0.126705756031418
-31.6,118.2,"Ulva, Western Australia, Australia",6,1.26166471258682
13.5943,105.063,"Preah, KâóThum, Cambodia",7,-3.64356867710505
6.5,6,"Edo State, Edo, Nigeria",22,0.680235044762388
42.8731,74.6003,"Bishkek, Bishkek, Kyrgyzstan",30,1.04080064701674
39,35,"Anadolu, Turkey (General), Turkey",4,-3.11218758470739
42.7227,-106.133,"Brooks Ranch, Wyoming, United States",7,-1.98586522641638
25.6667,94.1167,"Kohima, Nagaland, India",10,-0.694655498104147
26.755,83.3739,"Gorakhpur, Uttar Pradesh, India",4,-1.0113566443381
6.52345,4.38844,"Ilushin, Ogun, Nigeria",4,1.7838435971682
0.237626,32.4784,"Wakiso District, Wakiso, Uganda",5,-4.06043136562151
42.447,-76.483,"Cornell University, New York, United States",4,0.311155436651673
0.589167,31.36,"Mubende, Mubende District, Uganda",11,-1.53716645593476
41.725,44.7908,"Tbilisi, Georgia (General), Georgia",4,-1.42774114629955
54,30.75,"Mogilev Oblast, Minskaya Voblasts', Belarus",5,0.979388372386062
-26.2667,27.8667,"Soweto, Gauteng, South Africa",43,-1.25935235621578
-18.6114,31.5857,"Wedza, Mashonaland East, Zimbabwe",13,-1.07537931999629
53.4833,-2.26667,"Salford, Salford, United Kingdom",15,0.344027933136368
6.9423,79.9842,"Biyagama, Western, Sri Lanka",4,-8.33683158420789
7,3.58333,"Ogun State, Ogun, Nigeria",31,1.12352895369631
37.3261,-108.621,"Crow Canyon, Colorado, United States",5,0.716552758387326
-12,27,"Copperbelt, Eastern, Zambia",8,2.62700580193926
-31.1612,30.0773,"Xolobeni, Eastern Cape, South Africa",14,-0.953191635182446
-18.2048,28.9349,"Gokwe, Midlands, Zimbabwe",4,2.01405248805812
23.2656,116.054,"Hubei, Guangdong, China",4,-3.07702118519869
34.3482,62.1997,"Herat, Herat, Afghanistan",5,2.69974114723337
-18.1302,30.1407,"Chegutu, Mashonaland West, Zimbabwe",7,1.15893161315244
9.7064,123.4,"Cagayan, Cebu, Philippines",18,-1.69012548721513
7.4475,125.805,"Tagum, City Of Tagum, Philippines",13,-0.951442937420923
5.60106,-0.077133,"Nungua, Ghana (General), Ghana",4,-2.17341805201002
27.673,85.43,"Bhaktapur, Nepal (General), Nepal",4,-0.720250469615683
12.25,7.5,"Katsina State, Katsina, Nigeria",12,2.79369793265763
10,76.5,"Kerala, Kerala, India",103,-1.61538108384124
-29.7083,24.8456,"Wynand, Free State, South Africa",4,0.334865679879136
19.0167,72.85,"Dadar, Maharashtra, India",4,-0.566396766412795
41.8666,-103.667,"Scottsbluff, Nebraska, United States",5,1.34533963993635
3.35,101.25,"Selangor, Selangor, Malaysia",28,0.0688571480379083
11.2834,11.308,"Fika, Yobe, Nigeria",6,2.79333370754273
27.1,93.6167,"Itanagar, Goa, India",5,-0.154708769124225
-3.78298,39.2758,"Samburu, Coast, Kenya",5,0.530679157325067
9.1059,124.724,"Sagay, Camiguin, Philippines",88,-5.08510321510155
0.061158,34.2882,"Siaya, Nyanza, Kenya",4,-0.869509634939976
53.1572,-8.45417,"Leitrim, Galway, Ireland",12,-0.0159827003128078
-28.1675,31.5998,"Mabhida, Kwazulu-Natal, South Africa",5,0.618520745646831
11.8464,13.1603,"Maiduguri, Borno, Nigeria",4,-3.94059583921048
8.75,38.9833,"Debre Zeyit, Oromiya, Ethiopia",4,0.50800303394818
30.0035,70.19,"Ahli, Punjab, Pakistan",4,1.28479580372664
8.31667,8.51667,"Benue, Nigeria (General), Nigeria",49,-2.30365277248371
